message,amount,sender_type,label
Payment of ₹1040 debited from account,1040,bank,safe
Unauthorized transaction detected. Confirm now,21356,unknown,scam
You have received cashback. Claim now,15376,unknown,scam
₹1896 received via UPI,1896,merchant,safe
₹1129 received via UPI,1129,merchant,safe
Your UPI account is temporarily blocked. Verify immediately,47326,unknown,scam
Unauthorized transaction detected. Confirm now,23675,unknown,scam
Payment reversal failed. Act immediately,38635,unknown,scam
Money received from Priya,835,bank,safe
KYC expired. Update details to avoid UPI suspension,15317,unknown,scam
Transaction successful. Ref ID generated,4559,bank,safe
Your UPI account is temporarily blocked. Verify immediately,42922,unknown,scam
Paid ₹1214 to merchant successfully,1214,bank,safe
Transaction successful. Ref ID generated,822,bank,safe
₹4922 received via UPI,4922,bank,safe
You have received cashback. Claim now,27439,unknown,scam
Money received from Rohit,110,merchant,safe
Payment reversal failed. Act immediately,40649,unknown,scam
Money received from Priya,4737,merchant,safe
You have received cashback. Claim now,27983,unknown,scam
Payment reversal failed. Act immediately,33753,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,6102,unknown,scam
₹3054 received via UPI,3054,merchant,safe
Money received from Rahul,1851,bank,safe
₹3032 received via UPI,3032,merchant,safe
Payment of ₹2484 debited from account,2484,merchant,safe
You have received cashback. Claim now,30342,unknown,scam
KYC expired. Update details to avoid UPI suspension,26115,unknown,scam
₹2668 received via UPI,2668,bank,safe
You have received cashback. Claim now,8735,unknown,scam
Transaction successful. Ref ID generated,4023,merchant,safe
UPI payment of ₹4841 completed,4841,bank,safe
Your UPI account is temporarily blocked. Verify immediately,34129,unknown,scam
Unauthorized transaction detected. Confirm now,20869,unknown,scam
Transaction successful. Ref ID generated,2912,bank,safe
Transaction successful. Ref ID generated,2527,bank,safe
UPI reward pending. Click to receive,5343,unknown,scam
₹2679 received via UPI,2679,merchant,safe
Payment of ₹4872 debited from account,4872,bank,safe
Transaction successful. Ref ID generated,3570,merchant,safe
UPI reward pending. Click to receive,7852,unknown,scam
Payment of ₹1774 debited from account,1774,bank,safe
Unauthorized transaction detected. Confirm now,42218,unknown,scam
Transaction successful. Ref ID generated,1818,merchant,safe
Payment reversal failed. Act immediately,16621,unknown,scam
Paid ₹4600 to merchant successfully,4600,merchant,safe
₹3177 received via UPI,3177,merchant,safe
₹4383 received via UPI,4383,merchant,safe
Your UPI account is temporarily blocked. Verify immediately,34969,unknown,scam
Transaction successful. Ref ID generated,762,merchant,safe
You have received cashback. Claim now,22021,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,42993,unknown,scam
KYC expired. Update details to avoid UPI suspension,35660,unknown,scam
Money received from Rohit,3852,merchant,safe
KYC expired. Update details to avoid UPI suspension,22040,unknown,scam
₹4727 received via UPI,4727,merchant,safe
Money received from Sneha,2071,merchant,safe
Refund failed. Click the link to re-initiate UPI payment,27058,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,6577,unknown,scam
Payment of ₹853 debited from account,853,bank,safe
₹2283 received via UPI,2283,merchant,safe
Unauthorized transaction detected. Confirm now,37196,unknown,scam
Paid ₹3336 to merchant successfully,3336,bank,safe
Paid ₹3366 to merchant successfully,3366,merchant,safe
Paid ₹3075 to merchant successfully,3075,merchant,safe
Refund failed. Click the link to re-initiate UPI payment,43070,unknown,scam
Paid ₹2058 to merchant successfully,2058,bank,safe
Payment of ₹472 debited from account,472,merchant,safe
Payment of ₹3676 debited from account,3676,bank,safe
Payment reversal failed. Act immediately,33469,unknown,scam
₹443 received via UPI,443,merchant,safe
Payment reversal failed. Act immediately,18177,unknown,scam
Payment of ₹2505 debited from account,2505,bank,safe
Paid ₹3319 to merchant successfully,3319,bank,safe
KYC expired. Update details to avoid UPI suspension,3609,unknown,scam
Money received from Rohit,1158,bank,safe
You have received cashback. Claim now,12369,unknown,scam
UPI payment of ₹820 completed,820,merchant,safe
Transaction successful. Ref ID generated,2359,bank,safe
Paid ₹604 to merchant successfully,604,merchant,safe
₹3488 received via UPI,3488,bank,safe
UPI reward pending. Click to receive,31254,unknown,scam
₹2708 received via UPI,2708,merchant,safe
Payment reversal failed. Act immediately,33523,unknown,scam
UPI reward pending. Click to receive,13128,unknown,scam
You have received cashback. Claim now,14406,unknown,scam
Money received from Rahul,1773,merchant,safe
KYC expired. Update details to avoid UPI suspension,39720,unknown,scam
Payment of ₹2311 debited from account,2311,bank,safe
₹3035 received via UPI,3035,merchant,safe
Paid ₹1593 to merchant successfully,1593,merchant,safe
Payment of ₹4307 debited from account,4307,bank,safe
Payment of ₹4512 debited from account,4512,bank,safe
Your UPI account is temporarily blocked. Verify immediately,34942,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,13837,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,20793,unknown,scam
UPI reward pending. Click to receive,37136,unknown,scam
₹4525 received via UPI,4525,bank,safe
You have received cashback. Claim now,28326,unknown,scam
UPI reward pending. Click to receive,26398,unknown,scam
Transaction successful. Ref ID generated,1401,merchant,safe
Transaction successful. Ref ID generated,2159,bank,safe
Transaction successful. Ref ID generated,3564,merchant,safe
Money received from Rahul,4932,bank,safe
₹3431 received via UPI,3431,bank,safe
UPI reward pending. Click to receive,24609,unknown,scam
Money received from Priya,1451,merchant,safe
Paid ₹2713 to merchant successfully,2713,merchant,safe
Unauthorized transaction detected. Confirm now,30446,unknown,scam
UPI reward pending. Click to receive,2011,unknown,scam
₹4923 received via UPI,4923,merchant,safe
Your UPI account is temporarily blocked. Verify immediately,46253,unknown,scam
Transaction successful. Ref ID generated,1936,bank,safe
Payment of ₹396 debited from account,396,merchant,safe
₹3812 received via UPI,3812,merchant,safe
Payment reversal failed. Act immediately,18157,unknown,scam
UPI payment of ₹3713 completed,3713,bank,safe
Money received from Ankit,124,merchant,safe
KYC expired. Update details to avoid UPI suspension,7422,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,38842,unknown,scam
Paid ₹2326 to merchant successfully,2326,merchant,safe
Money received from Priya,1207,bank,safe
Payment of ₹3770 debited from account,3770,bank,safe
Money received from Rohit,3811,merchant,safe
Payment of ₹1601 debited from account,1601,bank,safe
Your UPI account is temporarily blocked. Verify immediately,39216,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,11690,unknown,scam
Transaction successful. Ref ID generated,1606,merchant,safe
UPI payment of ₹1830 completed,1830,merchant,safe
Your UPI account is temporarily blocked. Verify immediately,30595,unknown,scam
₹1800 received via UPI,1800,merchant,safe
KYC expired. Update details to avoid UPI suspension,21798,unknown,scam
Unauthorized transaction detected. Confirm now,36990,unknown,scam
Money received from Sneha,1553,bank,safe
Unauthorized transaction detected. Confirm now,24687,unknown,scam
Paid ₹3980 to merchant successfully,3980,bank,safe
Unauthorized transaction detected. Confirm now,13030,unknown,scam
Money received from Priya,221,merchant,safe
Money received from Amit,4681,merchant,safe
You have received cashback. Claim now,47935,unknown,scam
Transaction successful. Ref ID generated,4253,bank,safe
Paid ₹4938 to merchant successfully,4938,bank,safe
Your UPI account is temporarily blocked. Verify immediately,9159,unknown,scam
You have received cashback. Claim now,43187,unknown,scam
Payment reversal failed. Act immediately,5779,unknown,scam
UPI payment of ₹2115 completed,2115,bank,safe
Transaction successful. Ref ID generated,1412,merchant,safe
Paid ₹4208 to merchant successfully,4208,bank,safe
You have received cashback. Claim now,33546,unknown,scam
Money received from Amit,80,bank,safe
Transaction successful. Ref ID generated,1300,bank,safe
You have received cashback. Claim now,15997,unknown,scam
UPI payment of ₹4020 completed,4020,merchant,safe
Unauthorized transaction detected. Confirm now,22047,unknown,scam
Paid ₹3294 to merchant successfully,3294,merchant,safe
UPI reward pending. Click to receive,43260,unknown,scam
UPI payment of ₹2876 completed,2876,merchant,safe
Transaction successful. Ref ID generated,2488,merchant,safe
Refund failed. Click the link to re-initiate UPI payment,26579,unknown,scam
Refund failed. Click the link to re-initiate UPI payment,26945,unknown,scam
KYC expired. Update details to avoid UPI suspension,45871,unknown,scam
₹762 received via UPI,762,bank,safe
Payment of ₹1841 debited from account,1841,merchant,safe
Unauthorized transaction detected. Confirm now,15597,unknown,scam
Transaction successful. Ref ID generated,3434,bank,safe
Paid ₹3983 to merchant successfully,3983,merchant,safe
₹1037 received via UPI,1037,merchant,safe
UPI reward pending. Click to receive,34603,unknown,scam
You have received cashback. Claim now,19787,unknown,scam
Your UPI account is temporarily blocked. Verify immediately,22001,unknown,scam
₹4701 received via UPI,4701,merchant,safe
KYC expired. Update details to avoid UPI suspension,8957,unknown,scam
UPI reward pending. Click to receive,34638,unknown,scam
Transaction successful. Ref ID generated,3623,merchant,safe
UPI payment of ₹253 completed,253,bank,safe
₹1003 received via UPI,1003,bank,safe
